Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Loss
112	1560.0547	0.0	1560.0547	1560.0547	1601.2208	266.82382	1825.7983	836.5656	1000.0	1000.0	111999	679.7667751312256	1.9371665
113	1610.9589	0.0	1610.9589	1610.9589	1690.817	97.07337	1800.4414	1457.2963	1000.0	1000.0	112999	685.9507789611816	1.9882679
114	1437.7952	0.0	1437.7952	1437.7952	1606.5505	79.02229	1721.3497	1492.4305	1000.0	1000.0	113999	692.2023570537567	2.0015569
115	1734.8662	0.0	1734.8662	1734.8662	1659.4176	97.88678	1769.399	1437.5083	1000.0	1000.0	114999	698.4298701286316	1.9643599
116	1870.8427	0.0	1870.8427	1870.8427	1574.1628	84.832825	1702.8817	1425.3801	1000.0	1000.0	115999	704.6804358959198	2.0131547
117	1816.131	0.0	1816.131	1816.131	1637.297	103.40959	1849.5415	1510.7793	1000.0	1000.0	116999	710.8871049880981	2.0062065
118	1635.3052	0.0	1635.3052	1635.3052	1657.0641	97.61933	1792.0675	1502.2927	1000.0	1000.0	117999	717.0841112136841	2.0075946
119	1788.1384	0.0	1788.1384	1788.1384	1733.3127	89.50844	1866.8931	1543.0225	1000.0	1000.0	118999	723.4310300350189	2.0463204
120	1366.3772	0.0	1366.3772	1366.3772	1712.4547	88.23486	1920.8102	1616.5747	1000.0	1000.0	119999	730.0655522346497	2.0502515
121	1643.2599	0.0	1643.2599	1643.2599	1698.8021	55.633064	1773.1753	1593.8965	1000.0	1000.0	120999	736.5915541648865	2.0363567
122	1816.4789	0.0	1816.4789	1816.4789	1726.0793	102.3185	1890.3716	1540.7363	1000.0	1000.0	121999	743.0291509628296	2.0752583
123	1823.2686	0.0	1823.2686	1823.2686	1796.2562	121.76416	1983.213	1631.6908	1000.0	1000.0	122999	749.4018380641937	2.0374832
124	1833.6005	0.0	1833.6005	1833.6005	1730.8835	74.2869	1844.5233	1647.95	1000.0	1000.0	123999	755.7537920475006	2.021642
125	1822.1868	0.0	1822.1868	1822.1868	1803.8125	105.24342	1959.5715	1608.1249	1000.0	1000.0	124999	762.1435279846191	2.109025
126	1610.1201	0.0	1610.1201	1610.1201	1725.8367	381.8671	1938.56	602.2795	1000.0	1000.0	125999	768.6024041175842	2.1508572
127	1899.2583	0.0	1899.2583	1899.2583	1722.7966	518.9202	2001.8442	186.15776	1000.0	1000.0	126999	774.9222631454468	2.162938
128	2032.2582	0.0	2032.2582	2032.2582	2011.9896	93.08611	2166.219	1866.0289	1000.0	1000.0	127999	781.1519689559937	2.0310705
129	1984.3083	0.0	1984.3083	1984.3083	1799.3652	148.5432	2003.8933	1503.8749	1000.0	1000.0	128999	787.3569211959839	2.0653179
130	1852.3099	0.0	1852.3099	1852.3099	1901.7172	283.56216	2175.5312	1101.059	1000.0	1000.0	129999	793.5519571304321	2.0660512
131	2048.7163	0.0	2048.7163	2048.7163	1882.4807	130.31842	2151.5144	1733.6296	1000.0	1000.0	130999	799.8187510967255	2.153287
132	1887.6699	0.0	1887.6699	1887.6699	1752.6758	91.51228	1968.1346	1580.1221	1000.0	1000.0	131999	806.0010571479797	2.1516235
133	-137.67415	0.0	-137.67415	-137.67415	1906.9674	64.569405	2008.7166	1786.4495	1000.0	1000.0	132999	812.2048151493073	2.1269567
134	2071.7637	0.0	2071.7637	2071.7637	1950.0748	174.2197	2170.1047	1594.5016	1000.0	1000.0	133999	818.6402931213379	2.1886234
135	1966.6583	0.0	1966.6583	1966.6583	2020.5385	105.34918	2229.2852	1831.5634	1000.0	1000.0	134999	825.0205929279327	2.183433
